Detector,TP,FP,TN,FN,Precision,Recall,F1,Accuracy,Avg Time (ms),Avg Cost (USD),Total Cost (USD),Projected Time 50k (min),Projected Cost 50k (USD)
haiku_zeroshot_with_presidio,21,71,156,2,0.228,0.913,0.365,0.708,1401.2,0.000778,0.1944,1167.7,38.88
haiku_5shot_with_presidio,21,67,160,2,0.239,0.913,0.378,0.724,1395.7,0.003835,0.9587,1163.1,191.75
sonnet_zeroshot_with_presidio,22,70,157,1,0.239,0.957,0.383,0.716,2541.8,0.002916,0.7290,2118.2,145.80
sonnet_5shot_with_presidio,21,46,181,2,0.313,0.913,0.467,0.808,2508.6,0.014381,3.5953,2090.5,719.05
